,city,cluster
0,Kansas City,0
1,Honolulu,0
2,Winnipeg,1
3,Quebec,1
4,Portland,1
5,Montreal,1
6,Louisville,1
7,London,1
8,Sacramento,1
9,Indianapolis,1
10,Halifax,1
11,Tulsa,1
12,Edmonton,1
13,Jacksonville,1
14,Cleveland,1
15,Atlanta,1
16,Charlotte,1
17,Seattle,2
18,Nashville,2
19,Washington DC,2
20,Philadelphia,2
21,San Jose,2
22,Denver,2
23,St Louis,2
24,Vancouver,2
25,San Antonio,2
26,Pittsburgh,2
27,New Orleans,2
28,Austin,2
29,Houston,2
30,Cincinnati,2
31,Tucson,2
32,Fort Worth,2
33,Colorado Springs,2
34,Raleigh,2
35,Boston,2
36,Ottawa,3
37,Detroit,3
38,New York,3
39,Minneapolis,3
40,Toronto,3
41,Calgary,3
42,Chicago,3
43,San Francisco,3
44,Columbus,4
45,Salt Lake City,4
46,San Diego,5
47,Tampa,5
48,Albuquerque,5
49,Omaha,5
50,Oakland,5
51,Milwaukee,5
52,Wichita,5
53,Memphis,5
54,Los Angeles,5
55,Las Vegas,5
56,Fresno,5
57,El Paso,5
58,Baltimore,5
59,Bakersfield,5
60,Phoenix,5
61,Miami,5
